"user","item","x","observed","liked"
1,1,1.54688133441627,1,1
2,1,0.178920971863378,1,0
3,1,-0.282546591643236,1,1
4,1,-0.76729877857509,0,0
5,1,-0.576404240243122,1,0
6,1,-0.914855840000763,1,0
7,1,0.369910961287378,0,1
8,1,-1.46768436330169,1,0
9,1,-1.74536197840808,1,0
10,1,-0.66738180392146,1,0
11,1,1.08427900648207,1,1
12,1,0.122831641432163,1,0
13,1,-0.494249394753101,1,0
14,1,0.669588183914499,1,1
15,1,-0.351478853334928,1,1
16,1,-0.11498040088108,1,0
17,1,0.0729869418013214,1,0
18,1,1.08877461255298,0,1
19,1,1.29256873846574,1,1
20,1,1.28251129409906,1,1
21,1,0.979056118294658,0,0
22,1,0.329469783429092,1,0
23,1,1.8796357177335,1,1
24,1,2.04289903105136,1,1
25,1,1.32857637262015,1,0
26,1,-0.219668643736572,1,0
27,1,-1.0400474315513,1,1
28,1,0.19294978270913,1,0
29,1,-0.555236251879244,1,0
30,1,0.274990889851362,1,0
31,1,-0.55051340508595,1,1
32,1,0.921259893093488,1,1
33,1,2.18945599237245,1,1
34,1,0.963994790082482,1,0
35,1,0.741818476272659,1,1
36,1,0.037356564959467,1,0
37,1,2.18083368623473,1,1
38,1,-0.0795852035074668,1,0
39,1,1.37629502882361,1,1
40,1,1.57531667679071,1,1
41,1,0.160376978407948,1,0
42,1,-3.25322007290293,1,0
43,1,-0.329930487313703,1,1
44,1,0.457089825662592,1,0
45,1,-1.30410375743438,1,0
46,1,-1.29117343884522,1,0
47,1,0.906379731668726,1,1
48,1,-2.79596149521123,1,0
49,1,0.233560571320303,1,0
50,1,-0.269035938649161,1,0
51,1,-0.658545055017142,1,1
52,1,0.0633457930705781,1,0
53,1,0.0544768390649905,1,0
54,1,0.247009323436638,1,1
55,1,0.124035547905759,1,1
56,1,-0.535256699607607,1,0
57,1,0.258482591385961,1,0
58,1,1.38770886795755,1,1
59,1,0.667170446299684,1,1
60,1,1.49704945208069,1,1
61,1,-0.274880403443707,0,0
62,1,0.583075843370735,1,1
63,1,0.503358526281824,1,1
64,1,-0.74324768197525,1,0
65,1,-0.816877585453861,1,0
66,1,1.87028368106197,1,1
67,1,-0.827253044046263,1,1
68,1,0.950712693584276,1,1
69,1,-0.266172351060701,1,0
70,1,-1.0990821816966,1,0
71,1,-1.53421754307361,1,1
72,1,-1.20630985963392,1,0
73,1,-1.95002527285931,1,0
74,1,-0.884040029631817,1,0
75,1,0.973405985201601,1,1
76,1,-0.580971315835475,1,0
77,1,1.73676738151204,1,1
78,1,-0.172675318153217,1,0
79,1,-0.937992531749062,1,1
80,1,-0.28459365979305,0,0
81,1,-0.589018101666963,1,0
82,1,-0.44393142602891,1,0
83,1,0.0599965734692298,1,1
84,1,0.0822329488652121,1,0
85,1,0.758397523687175,1,0
86,1,0.539662990903339,1,0
87,1,0.776647646532491,1,1
88,1,0.132171664674437,1,0
89,1,-0.806865299790739,1,0
90,1,0.449350085786593,1,0
91,1,0.41264145683315,1,1
92,1,-0.403614049111987,1,0
93,1,-0.38808827747742,1,0
94,1,1.09518774784029,1,1
95,1,1.34048004305313,1,1
96,1,0.114405546675648,1,0
97,1,-0.392264620281621,1,0
98,1,1.65235784319754,1,1
99,1,-1.24369760877461,1,1
100,1,-0.911925870779559,1,0
1,2,0.850043471893941,1,1
2,2,-0.925312995099251,1,1
3,2,0.893581214441206,1,0
4,2,-0.941009737811872,0,0
5,2,0.538952094101553,1,1
6,2,-0.181974398105336,1,1
7,2,0.891767594965122,1,1
8,2,1.32920820523491,1,1
9,2,-0.103466125206476,0,0
10,2,0.615064610722324,1,1
11,2,-1.7997723953362,0,0
12,2,-0.262705141643009,1,0
13,2,-1.21014187687842,1,0
14,2,0.204477252550871,1,1
15,2,-0.0139941045119107,1,0
16,2,-0.235200839818886,1,0
17,2,-0.188318654237954,1,0
18,2,0.951283068840505,1,1
19,2,-0.154014785973495,1,0
20,2,1.85424450475186,1,1
21,2,-1.90416735438949,0,0
22,2,0.359299701900462,1,1
23,2,2.1145349462097,1,1
24,2,-1.13574898684316,1,0
25,2,-0.796255985784339,1,0
26,2,-0.397569450150752,1,1
27,2,0.0917240415455821,1,0
28,2,-0.238694074135277,1,0
29,2,-0.461962363699386,1,0
30,2,1.9263406073496,1,1
31,2,0.122054814822625,1,0
32,2,1.09205057650629,1,1
33,2,-2.97225747544741,1,0
34,2,1.12848905096528,1,1
35,2,1.31200012901363,0,0
36,2,-0.48260797306504,1,0
37,2,-0.224858996653821,1,0
38,2,1.66776531087937,1,1
39,2,0.0412185323166061,0,0
40,2,1.03817484555139,1,0
41,2,0.587642933342248,1,0
42,2,-0.158299577145634,1,1
43,2,-0.292085414891579,1,0
44,2,-1.41989896333921,1,0
45,2,-2.13831802520847,1,0
46,2,-0.0225001049025996,1,1
47,2,0.269770953624943,1,0
48,2,-0.502969399031042,1,0
49,2,0.630807390367713,1,0
50,2,0.474565208416551,1,1
51,2,-0.340659061576436,1,0
52,2,0.0496015595221469,1,0
53,2,1.2952631908601,1,1
54,2,0.314624204958306,1,1
